Symbol,Date,Open,High,Low,Close,Volume
AABS,03-Dec-2014,134.74,134.74,134.74,134.74,100
AABS,22-Dec-2014,135.00,135.00,130.00,134.17,600
AABS,30-Dec-2014,143.00,143.00,141.00,141.50,400
AABS,31-Dec-2014,148.00,148.57,148.00,148.38,500
AABS,05-Jan-2015,155.25,155.25,154.00,155.00,5100
AABS,06-Jan-2015,157.50,162.75,155.50,162.43,2200
AABS,07-Jan-2015,168.00,170.55,168.00,170.55,3800
AABS,08-Jan-2015,178.99,179.07,178.99,179.07,6300
AABS,09-Jan-2015,188.02,188.02,179.05,188.02,5100
AABS,12-Jan-2015,197.42,197.42,197.42,197.42,6200
AABS,13-Jan-2015,207.29,207.29,207.29,207.29,8300
AABS,14-Jan-2015,217.65,217.65,205.90,206.04,6400
AABS,15-Jan-2015,197.00,202.85,195.74,197.48,17700
AABS,16-Jan-2015,198.89,207.00,198.00,200.91,5000
AABS,19-Jan-2015,210.70,210.70,192.00,198.50,6600
AABS,20-Jan-2015,191.02,200.00,189.00,200.00,4600
AABS,21-Jan-2015,200.99,201.00,200.50,200.75,1200
AABS,22-Jan-2015,192.01,192.01,181.22,181.23,1500
AABS,23-Jan-2015,181.00,190.00,181.00,190.00,600
AABS,26-Jan-2015,181.00,184.00,180.50,180.50,700
AABS,28-Jan-2015,175.00,189.52,171.48,185.06,5600
AABS,29-Jan-2015,185.00,185.00,176.01,177.00,700
AABS,30-Jan-2015,185.85,185.85,185.85,185.85,7200
AABS,02-Feb-2015,185.00,188.98,182.00,188.86,1500
AABS,03-Feb-2015,195.14,195.14,188.00,190.00,1200
AABS,04-Feb-2015,195.00,195.50,180.50,181.38,4100
AABS,06-Feb-2015,180.00,182.00,176.01,180.50,1575500
AABS,09-Feb-2015,180.50,180.50,180.50,180.50,100
AABS,10-Feb-2015,176.00,185.50,176.00,180.75,200
AABS,11-Feb-2015,181.00,181.00,181.00,181.00,200
AABS,12-Feb-2015,176.00,176.50,176.00,176.10,900
AABS,16-Feb-2015,176.10,176.10,176.10,176.10,100
AABS,18-Feb-2015,180.00,181.00,168.00,168.00,700
AABS,20-Feb-2015,176.40,176.40,176.40,176.40,500
AABS,23-Feb-2015,176.40,176.40,176.40,176.40,100
AABS,26-Feb-2015,175.00,180.00,175.00,177.50,200
AABS,09-Mar-2015,175.00,175.00,175.00,175.00,100
AABS,11-Mar-2015,175.00,175.00,168.00,171.50,200
AABS,12-Mar-2015,171.50,171.50,171.50,171.50,100
AABS,18-Mar-2015,163.00,163.00,163.00,163.00,200
AABS,24-Mar-2015,163.00,163.00,163.00,163.00,100
AABS,25-Mar-2015,171.00,171.00,171.00,171.00,720400
AABS,30-Mar-2015,162.45,162.45,162.45,162.45,300
AABS,31-Mar-2015,170.00,170.57,170.00,170.57,600
AABS,03-Apr-2015,162.05,162.05,162.05,162.05,500
AABS,07-Apr-2015,170.00,170.15,170.00,170.03,600
AABS,14-Apr-2015,177.00,177.00,177.00,177.00,200
AABS,21-Apr-2015,170.00,170.00,170.00,170.00,1400
AABS,28-Apr-2015,171.00,171.00,171.00,171.00,600
AABS,05-May-2015,162.45,162.45,162.45,162.45,200
AABS,28-May-2015,162.45,162.45,162.45,162.45,400
AABS,29-May-2015,160.50,160.50,160.50,160.50,200
AABS,01-Jun-2015,160.50,160.50,160.50,160.50,100
AABS,05-Jun-2015,163.00,163.00,163.00,163.00,600
AABS,08-Jun-2015,163.00,163.00,163.00,163.00,100
AABS,17-Jun-2015,163.00,163.00,163.00,163.00,100
AABS,09-Jul-2015,171.15,171.15,171.00,171.00,600
AABS,10-Jul-2015,175.00,179.55,175.00,178.78,300
AABS,14-Jul-2015,175.00,181.99,175.00,181.86,500
AABS,15-Jul-2015,175.00,175.00,175.00,175.00,500
AABS,16-Jul-2015,183.75,183.75,183.75,183.75,300
AABS,27-Jul-2015,185.00,185.00,185.00,185.00,400
AABS,30-Jul-2015,189.00,194.25,188.00,194.25,4800
AABS,31-Jul-2015,203.96,203.96,203.95,203.96,3800
AABS,03-Aug-2015,213.90,213.95,207.00,209.51,5700
AABS,04-Aug-2015,213.00,213.00,207.06,208.03,500
AABS,05-Aug-2015,209.00,209.10,205.11,206.81,2900
AABS,06-Aug-2015,201.00,201.00,196.50,196.50,7900
AABS,07-Aug-2015,198.00,199.00,198.00,198.59,500
AABS,10-Aug-2015,197.50,197.50,197.50,197.50,1000
AABS,11-Aug-2015,193.50,194.50,193.25,194.00,5000
AABS,13-Aug-2015,184.30,191.00,184.30,191.00,2500
AABS,17-Aug-2015,191.00,191.00,191.00,191.00,1000
AABS,18-Aug-2015,186.00,190.20,186.00,188.04,1000
AABS,20-Aug-2015,182.00,190.00,182.00,190.00,1000
AABS,24-Aug-2015,169.00,169.00,168.63,168.63,1600
AABS,25-Aug-2015,168.63,168.63,168.63,168.63,100
AABS,28-Aug-2015,160.51,160.51,160.50,160.51,200
AABS,31-Aug-2015,168.52,168.52,168.52,168.52,200
AABS,01-Sep-2015,170.76,175.00,170.76,174.00,4800
AABS,03-Sep-2015,170.00,170.00,170.00,170.00,200
AABS,04-Sep-2015,170.00,170.00,170.00,170.00,500
AABS,07-Sep-2015,162.10,162.10,161.50,161.79,1500
AABS,11-Sep-2015,154.00,154.00,153.90,153.90,500
AABS,18-Sep-2015,160.00,161.58,160.00,160.79,200
AABS,29-Sep-2015,160.79,160.79,160.79,160.79,100
AABS,07-Oct-2015,160.00,160.00,160.00,160.00,500
AABS,12-Oct-2015,158.00,158.00,158.00,158.00,101000
AABS,27-Oct-2015,154.01,154.01,154.00,154.00,400
AABS,28-Oct-2015,160.00,160.00,159.00,159.50,200
AABS,29-Oct-2015,159.50,159.50,159.50,159.50,100
AABS,02-Nov-2015,164.00,167.47,164.00,165.74,200
AABS,12-Nov-2015,163.00,174.02,163.00,174.02,800
AABS,13-Nov-2015,182.50,182.72,182.50,182.72,4000
AABS,16-Nov-2015,191.48,191.85,191.47,191.83,900
AABS,17-Nov-2015,193.10,193.10,192.00,192.25,2900
AABS,18-Nov-2015,190.00,190.00,185.00,187.50,200
AABS,19-Nov-2015,187.50,187.50,187.50,187.50,300
AABS,23-Nov-2015,181.50,191.89,181.50,186.70,200
AABS,24-Nov-2015,182.11,182.11,182.10,182.11,200
AABS,25-Nov-2015,182.11,182.11,182.11,182.11,100
AABS,26-Nov-2015,176.00,176.00,176.00,176.00,700
AABS,27-Nov-2015,180.00,180.00,180.00,180.00,200
AABS,01-Dec-2015,173.20,173.20,164.83,166.42,1000
AABS,02-Dec-2015,158.10,174.74,158.10,170.86,1200
AABS,03-Dec-2015,162.50,179.40,162.32,179.40,1500
AABS,04-Dec-2015,173.46,175.00,173.45,173.97,500
AABS,07-Dec-2015,182.00,182.66,181.99,182.00,700
AABS,11-Dec-2015,182.00,182.00,182.00,182.00,100
AABS,15-Dec-2015,182.00,182.00,182.00,182.00,100
AABS,22-Dec-2015,184.50,189.00,184.00,189.00,2900
AABS,28-Dec-2015,194.99,195.00,185.25,186.13,600
AABS,29-Dec-2015,187.15,195.43,185.00,195.43,7000
AABS,30-Dec-2015,191.00,205.00,190.55,204.17,3900
AABS,31-Dec-2015,195.01,214.37,195.01,209.89,4200
AABS,01-Jan-2016,210.00,210.00,202.01,203.51,400
AABS,04-Jan-2016,204.65,204.65,204.65,204.65,200
AABS,06-Jan-2016,196.10,196.10,196.05,196.07,1000
AABS,07-Jan-2016,204.55,205.80,202.70,205.80,2000
AABS,08-Jan-2016,206.00,206.00,206.00,206.00,300
AABS,14-Jan-2016,200.00,200.00,195.70,195.95,700
AABS,15-Jan-2016,195.00,195.00,193.00,194.00,200
AABS,18-Jan-2016,184.30,203.70,184.30,203.70,5800
AABS,26-Jan-2016,190.19,199.99,190.19,190.82,2500
AABS,27-Jan-2016,199.99,199.99,199.00,199.99,1700
AABS,28-Jan-2016,200.00,209.90,200.00,206.38,1400
AABS,29-Jan-2016,211.00,214.90,197.00,197.00,4400
AABS,01-Feb-2016,200.00,200.00,200.00,200.00,500
AABS,02-Feb-2016,210.00,210.00,210.00,210.00,1900
AABS,03-Feb-2016,204.03,204.03,202.00,202.00,400
AABS,04-Feb-2016,204.00,204.00,204.00,204.00,400
AABS,08-Feb-2016,197.01,197.01,197.01,197.01,400
AABS,12-Feb-2016,197.01,197.01,197.01,197.01,100
AABS,15-Feb-2016,199.00,203.00,199.00,201.00,200
AABS,16-Feb-2016,201.00,201.00,201.00,201.00,100
AABS,23-Feb-2016,188.00,205.80,188.00,205.80,2100
AABS,25-Feb-2016,195.51,195.51,195.51,195.51,300
AABS,26-Feb-2016,186.12,186.12,185.75,185.93,300
AABS,02-Mar-2016,177.00,195.22,176.70,195.22,1200
AABS,09-Mar-2016,195.22,195.22,195.22,195.22,100
AABS,14-Mar-2016,200.00,200.00,200.00,200.00,1500
AABS,15-Mar-2016,200.00,200.00,200.00,200.00,500
AABS,17-Mar-2016,203.00,203.00,203.00,203.00,600
AABS,18-Mar-2016,203.00,205.00,203.00,205.00,400
AABS,24-Mar-2016,200.00,200.00,200.00,200.00,500
AABS,30-Mar-2016,209.99,209.99,209.99,209.99,3200
AABS,31-Mar-2016,213.50,213.99,213.00,213.50,400
AABS,01-Apr-2016,213.50,213.50,213.50,213.50,100
AABS,04-Apr-2016,205.00,211.64,205.00,211.64,100
AABS,18-Apr-2016,202.00,202.00,202.00,202.00,600
AABS,04-May-2016,202.00,202.00,202.00,202.00,100
AABS,11-May-2016,210.50,210.90,210.50,210.58,500
AABS,19-May-2016,207.00,207.00,207.00,207.00,500
AABS,23-May-2016,207.00,215.00,207.00,214.50,2300
AABS,25-May-2016,204.00,214.00,203.78,210.00,1600
AABS,26-May-2016,210.00,210.00,204.00,208.80,500
AABS,02-Jun-2016,200.00,200.00,200.00,200.00,100
AABS,15-Jun-2016,208.90,208.90,208.90,208.90,200
AABS,16-Jun-2016,208.90,208.90,208.90,208.90,100
AABS,17-Jun-2016,213.00,219.34,213.00,219.34,600
AABS,20-Jun-2016,219.34,219.34,219.34,219.34,100
AABS,21-Jun-2016,219.34,219.34,219.34,219.34,100
AABS,22-Jun-2016,216.00,230.00,216.00,230.00,1100
AABS,24-Jun-2016,230.00,241.50,230.00,241.50,700
AABS,27-Jun-2016,235.00,253.57,235.00,250.92,700
AABS,28-Jun-2016,250.00,260.00,240.00,254.50,400
AABS,29-Jun-2016,241.80,267.20,241.80,255.32,9500
AABS,30-Jun-2016,242.56,268.00,242.56,268.00,700
AABS,12-Jul-2016,254.60,279.99,254.60,279.99,200
AABS,13-Jul-2016,266.00,266.00,266.00,266.00,100
AABS,18-Jul-2016,260.00,275.00,252.70,275.00,800
AABS,22-Jul-2016,264.00,264.00,263.00,263.50,200
AABS,27-Jul-2016,255.00,255.00,255.00,255.00,100
AABS,28-Jul-2016,250.00,255.00,250.00,255.00,500
AABS,29-Jul-2016,255.00,255.00,255.00,255.00,200
AABS,03-Aug-2016,260.00,260.00,260.00,260.00,1100
AABS,04-Aug-2016,260.00,268.00,259.90,268.00,700
AABS,05-Aug-2016,258.05,258.05,258.00,258.00,500
AABS,09-Aug-2016,270.90,270.90,270.90,270.90,200
AABS,29-Aug-2016,247.86,260.00,247.86,260.00,300
AABS,30-Aug-2016,270.00,270.00,270.00,270.00,100
AABS,02-Sep-2016,256.50,256.50,256.50,256.50,100
AABS,23-Sep-2016,269.32,269.32,269.32,269.32,100
AABS,05-Oct-2016,256.00,282.50,256.00,282.50,2500
AABS,07-Oct-2016,290.00,290.00,290.00,290.00,500
AABS,17-Oct-2016,290.00,300.00,290.00,300.00,1100
AABS,18-Oct-2016,300.00,300.00,300.00,300.00,700
AABS,19-Oct-2016,313.00,313.00,313.00,313.00,700
AABS,20-Oct-2016,300.00,300.00,298.00,300.00,1900
AABS,01-Nov-2016,280.27,280.27,280.27,280.27,600
AABS,02-Nov-2016,294.28,294.28,294.28,294.28,600
AABS,03-Nov-2016,308.99,308.99,279.57,279.57,200
AABS,04-Nov-2016,265.60,265.60,265.60,265.60,100
AABS,08-Nov-2016,270.50,270.50,270.50,270.50,100
AABS,09-Nov-2016,284.00,284.02,284.00,284.02,400
AABS,10-Nov-2016,298.22,298.22,298.22,298.22,100
AABS,11-Nov-2016,305.60,313.13,305.60,313.00,1100
AABS,14-Nov-2016,315.00,315.00,313.00,313.00,400
AABS,15-Nov-2016,297.35,297.35,297.35,297.35,200
AABS,16-Nov-2016,285.00,285.00,285.00,285.00,300
AABS,17-Nov-2016,290.00,297.25,270.85,276.03,1100
AABS,24-Nov-2016,285.00,289.83,280.00,289.83,800
AABS,25-Nov-2016,275.34,275.34,275.34,275.34,800
AABS,29-Nov-2016,288.00,288.00,288.00,288.00,500
AABS,30-Nov-2016,290.00,290.00,285.00,285.00,300
AABS,08-Dec-2016,271.00,271.00,271.00,271.00,100
AABS,14-Dec-2016,270.00,270.00,270.00,270.00,200
AABS,22-Dec-2016,280.00,280.00,280.00,280.00,100
AABS,26-Dec-2016,281.00,281.00,280.00,280.34,300
AABS,27-Dec-2016,294.35,294.35,294.35,294.35,500
AABS,28-Dec-2016,304.00,309.06,304.00,309.06,1300
AABS,29-Dec-2016,318.99,320.00,317.00,319.00,1900
AABS,30-Dec-2016,313.01,329.00,313.00,329.00,1700
AABS,02-Jan-2017,338.88,338.88,331.00,331.00,300
AABS,03-Jan-2017,314.46,314.46,314.45,314.45,200
AABS,04-Jan-2017,298.76,300.00,298.73,298.73,700
AABS,05-Jan-2017,284.01,284.01,283.80,283.80,300
AABS,06-Jan-2017,269.61,269.62,269.61,269.61,700
AABS,09-Jan-2017,270.00,270.00,262.00,264.40,2900
AABS,10-Jan-2017,270.00,270.00,266.01,266.01,300
AABS,12-Jan-2017,277.00,277.00,277.00,277.00,300
AABS,16-Jan-2017,276.00,276.00,276.00,276.00,100
AABS,17-Jan-2017,271.01,271.01,270.00,270.50,500
AABS,19-Jan-2017,270.00,270.00,270.00,270.00,100
AABS,23-Jan-2017,270.00,281.00,270.00,281.00,2100
AABS,26-Jan-2017,292.00,292.00,285.00,285.00,1000
AABS,27-Jan-2017,275.00,275.00,275.00,275.00,800
AABS,01-Feb-2017,275.00,275.00,275.00,275.00,200
AABS,02-Feb-2017,276.00,276.00,276.00,276.00,500
AABS,03-Feb-2017,277.00,277.00,277.00,277.00,100
AABS,06-Feb-2017,277.00,277.00,277.00,277.00,200
AABS,07-Feb-2017,268.00,268.00,268.00,268.00,100
AABS,09-Feb-2017,265.00,265.00,265.00,265.00,200
AABS,15-Feb-2017,274.00,274.00,274.00,274.00,100
AABS,20-Feb-2017,274.89,275.00,274.89,275.00,200
AABS,21-Feb-2017,261.25,261.25,261.25,261.25,300
AABS,22-Feb-2017,265.00,265.00,262.00,262.00,300
AABS,28-Feb-2017,262.00,262.00,262.00,262.00,100
AABS,01-Mar-2017,250.00,250.00,250.00,250.00,100
AABS,08-Mar-2017,249.00,250.00,249.00,250.00,500
AABS,10-Mar-2017,241.00,241.00,241.00,241.00,500
AABS,13-Mar-2017,241.00,241.00,241.00,241.00,100
AABS,14-Mar-2017,240.00,240.00,240.00,240.00,3100
AABS,15-Mar-2017,239.99,240.00,239.99,240.00,2800
AABS,16-Mar-2017,240.00,240.00,240.00,240.00,500
AABS,22-Mar-2017,239.00,239.00,235.00,235.00,300
AABS,10-Apr-2017,236.00,236.00,236.00,236.00,100
AABS,24-Apr-2017,231.00,245.00,230.00,244.00,1500
AABS,27-Apr-2017,232.00,232.00,232.00,232.00,600
AABS,05-May-2017,232.00,232.00,232.00,232.00,100
AABS,08-May-2017,228.00,240.00,228.00,240.00,1200
AABS,11-May-2017,240.00,240.00,240.00,240.00,100
AABS,12-May-2017,246.00,246.00,246.00,246.00,200
AABS,15-May-2017,233.70,233.70,233.70,233.70,3100
AABS,16-May-2017,232.10,245.00,232.00,238.57,8000
AABS,17-May-2017,249.00,250.00,235.00,235.03,7600
AABS,18-May-2017,235.03,235.03,235.03,235.03,600
AABS,23-May-2017,235.00,235.00,223.25,224.76,5900
AABS,24-May-2017,223.00,223.00,223.00,223.00,500
AABS,29-May-2017,223.00,223.00,223.00,223.00,100
AABS,31-May-2017,223.00,229.90,223.00,226.45,200
AABS,06-Jun-2017,218.00,218.00,215.13,216.65,500
AABS,07-Jun-2017,212.25,212.25,212.00,212.13,200
AABS,12-Jun-2017,202.00,202.00,202.00,202.00,400
AABS,13-Jun-2017,196.00,208.00,195.00,198.25,900
AABS,15-Jun-2017,198.25,198.25,198.25,198.25,100
AABS,20-Jun-2017,195.05,195.05,195.05,195.05,400
AABS,21-Jun-2017,195.05,195.05,195.05,195.05,200
AABS,30-Jun-2017,195.05,195.05,195.05,195.05,100
AABS,11-Jul-2017,204.90,204.90,204.90,204.90,500
AABS,27-Jul-2017,204.90,204.90,204.90,204.90,100
AABS,28-Jul-2017,194.66,194.66,194.66,194.66,200
AABS,07-Aug-2017,190.00,190.00,190.00,190.00,300
AABS,10-Aug-2017,195.00,195.00,185.00,190.00,400
AABS,20-Sep-2017,185.00,185.00,181.00,182.00,300
AABS,21-Sep-2017,173.00,173.01,172.91,172.99,1300
AABS,22-Sep-2017,170.00,180.00,164.66,171.30,2400
AABS,25-Sep-2017,170.00,179.00,168.00,168.28,6300
AABS,26-Sep-2017,170.00,176.00,168.00,168.38,5200
AABS,28-Sep-2017,166.51,166.51,166.00,166.34,300
AABS,02-Oct-2017,164.00,164.00,159.00,161.67,400
AABS,05-Oct-2017,165.00,165.00,165.00,165.00,200
AABS,06-Oct-2017,160.00,160.00,156.75,156.77,1400
AABS,10-Oct-2017,156.77,156.77,156.77,156.77,100
AABS,13-Oct-2017,141.50,141.51,141.50,141.50,1700
AABS,16-Oct-2017,135.05,148.50,135.00,141.75,800
AABS,17-Oct-2017,141.75,141.75,141.75,141.75,100
AABS,30-Oct-2017,141.75,141.75,141.75,141.75,100
AABS,01-Nov-2017,140.00,140.00,140.00,140.00,1000
AABS,02-Nov-2017,140.00,140.50,134.00,134.00,3300
AABS,07-Nov-2017,128.25,131.25,128.25,131.25,900
AABS,08-Nov-2017,131.25,131.25,131.25,131.25,100
AABS,09-Nov-2017,137.81,137.81,131.00,137.81,1900
AABS,10-Nov-2017,144.70,144.70,144.70,144.70,1000
AABS,13-Nov-2017,151.92,151.92,151.92,151.92,200
AABS,14-Nov-2017,158.99,158.99,144.33,144.33,1100
AABS,15-Nov-2017,150.99,151.00,137.12,138.82,3000
AABS,16-Nov-2017,145.75,145.76,140.02,145.73,700
AABS,17-Nov-2017,138.45,152.98,138.45,145.84,300
AABS,20-Nov-2017,152.98,152.98,143.00,147.99,200
AABS,23-Nov-2017,154.95,154.95,145.01,149.80,400
AABS,24-Nov-2017,155.00,156.90,155.00,155.32,700
AABS,27-Nov-2017,160.00,160.00,160.00,160.00,400
AABS,28-Nov-2017,152.26,154.99,152.25,153.62,300
AABS,29-Nov-2017,150.00,150.00,146.00,146.01,1300
AABS,30-Nov-2017,139.00,139.01,139.00,139.01,200
AABS,04-Dec-2017,139.01,139.01,139.01,139.01,100
AABS,06-Dec-2017,145.95,145.96,140.00,140.54,1300
AABS,07-Dec-2017,140.56,140.56,139.99,140.00,900
AABS,08-Dec-2017,133.05,133.05,133.05,133.05,200
AABS,11-Dec-2017,133.05,133.05,133.05,133.05,100
AABS,12-Dec-2017,133.05,133.05,133.05,133.05,200
AABS,14-Dec-2017,127.00,127.01,127.00,127.01,200
AABS,21-Dec-2017,133.36,133.36,132.90,132.90,300
AABS,22-Dec-2017,139.54,139.54,127.02,139.47,500
AABS,26-Dec-2017,134.01,134.01,132.50,132.55,1000
AABS,27-Dec-2017,128.01,128.01,125.93,126.47,1200
AABS,28-Dec-2017,132.49,132.49,124.02,126.84,300
AABS,29-Dec-2017,126.84,126.84,126.84,126.84,200
AABS,02-Jan-2018,120.50,133.18,120.50,133.18,900
AABS,03-Jan-2018,128.01,139.83,128.01,139.83,8200
