Symbol,Date,Open,High,Low,Close,Volume
AGP,05-Mar-2018,84.00,84.00,84.00,84.00,20500
AGP,06-Mar-2018,88.20,88.20,88.20,88.20,16000
AGP,07-Mar-2018,92.61,92.61,91.15,92.61,4040000
AGP,08-Mar-2018,94.50,97.24,94.41,97.24,3103000
AGP,09-Mar-2018,100.00,101.75,93.25,94.16,4225000
AGP,12-Mar-2018,94.41,95.75,92.51,94.02,1404500
AGP,13-Mar-2018,94.10,95.75,92.80,93.18,1210500
AGP,14-Mar-2018,93.19,93.19,88.53,88.58,2948500
AGP,15-Mar-2018,89.00,93.00,88.85,91.26,2309500
AGP,16-Mar-2018,91.50,91.88,89.80,89.97,455000
AGP,19-Mar-2018,90.50,90.80,89.20,89.55,318500
AGP,20-Mar-2018,90.10,92.40,89.05,89.37,1178000
AGP,21-Mar-2018,89.85,91.90,89.30,90.44,1116500
AGP,22-Mar-2018,90.76,91.80,90.40,90.69,1064000
AGP,26-Mar-2018,90.25,90.89,89.01,89.55,578500
AGP,27-Mar-2018,90.00,92.68,89.75,90.89,3514500
AGP,28-Mar-2018,90.98,91.99,90.00,90.11,1015500
AGP,29-Mar-2018,90.36,93.00,89.90,90.32,3277000
AGP,30-Mar-2018,90.63,91.70,90.20,90.69,1439500
AGP,02-Apr-2018,90.98,91.70,90.50,90.82,907000
AGP,03-Apr-2018,91.00,93.69,89.30,89.93,4197000
AGP,04-Apr-2018,90.01,90.82,89.66,90.16,1454000
AGP,05-Apr-2018,90.60,94.66,90.60,94.66,5804000
AGP,06-Apr-2018,97.00,99.00,96.05,98.02,4803500
AGP,09-Apr-2018,98.55,99.98,96.20,96.56,4096500
AGP,10-Apr-2018,96.25,97.98,95.30,96.93,922000
AGP,11-Apr-2018,97.25,98.30,95.99,96.18,1029000
AGP,12-Apr-2018,96.25,97.28,95.55,95.73,645500
AGP,13-Apr-2018,95.80,96.00,94.71,95.09,374000
AGP,16-Apr-2018,95.11,97.25,94.55,95.25,957000
AGP,17-Apr-2018,95.31,97.74,95.31,97.34,1325000
AGP,18-Apr-2018,99.00,102.20,98.41,102.20,3375500
AGP,19-Apr-2018,104.00,106.45,99.50,102.87,3116000
AGP,20-Apr-2018,102.77,105.98,102.35,104.11,1469000
AGP,23-Apr-2018,104.79,105.25,103.01,104.31,870500
AGP,24-Apr-2018,103.66,104.90,101.70,102.05,868000
AGP,25-Apr-2018,102.48,107.15,102.30,107.15,2079500
AGP,26-Apr-2018,109.00,109.00,102.00,102.46,2208000
AGP,27-Apr-2018,101.00,105.50,98.50,100.87,2108500
AGP,30-Apr-2018,101.99,102.90,101.00,101.55,472000
AGP,02-May-2018,101.60,101.66,98.50,98.84,507500
AGP,03-May-2018,98.75,98.90,94.60,96.41,1234000
AGP,04-May-2018,96.00,97.20,95.21,96.73,393500
AGP,07-May-2018,96.70,97.20,95.50,95.72,199500
AGP,08-May-2018,95.75,97.00,94.10,94.37,339500
AGP,09-May-2018,94.84,95.00,91.90,92.88,433500
AGP,10-May-2018,93.00,94.99,92.56,93.48,222500
AGP,11-May-2018,93.99,93.99,92.76,93.08,138000
AGP,14-May-2018,92.00,92.00,88.43,88.83,695500
AGP,15-May-2018,89.00,93.27,87.50,92.99,586000
AGP,16-May-2018,93.50,94.73,92.55,93.15,379000
AGP,17-May-2018,93.00,93.40,90.01,90.31,87500
AGP,18-May-2018,90.98,91.50,89.50,90.71,137000
AGP,21-May-2018,91.00,93.25,91.00,91.60,229500
AGP,22-May-2018,92.75,94.25,92.50,93.77,382000
AGP,23-May-2018,93.15,94.00,92.62,93.16,186500
AGP,24-May-2018,93.47,97.48,92.35,95.85,605500
AGP,25-May-2018,96.00,96.00,94.30,95.16,367000
AGP,28-May-2018,95.00,95.75,93.00,93.28,278500
AGP,29-May-2018,93.26,94.75,93.00,94.15,163500
AGP,30-May-2018,94.24,94.60,92.75,93.65,148500
AGP,31-May-2018,93.31,95.70,92.72,94.19,296500
AGP,01-Jun-2018,93.65,96.90,93.50,96.05,432500
AGP,04-Jun-2018,96.00,96.45,94.51,95.35,192500
AGP,05-Jun-2018,95.10,100.11,93.50,100.11,1892500
AGP,06-Jun-2018,102.20,103.47,98.81,99.26,2146000
AGP,07-Jun-2018,99.30,101.80,98.50,100.62,1488500
AGP,11-Jun-2018,101.20,101.80,96.59,96.98,479000
AGP,12-Jun-2018,95.11,96.70,93.00,93.47,316000
AGP,13-Jun-2018,92.92,95.30,92.92,94.82,111500
AGP,14-Jun-2018,95.00,96.20,95.00,95.18,97000
AGP,19-Jun-2018,95.18,95.80,94.07,94.45,537500
AGP,20-Jun-2018,94.50,95.00,93.70,94.07,264500
AGP,21-Jun-2018,93.07,93.90,91.50,91.75,784500
AGP,22-Jun-2018,91.89,92.20,88.50,89.52,390500
AGP,25-Jun-2018,89.41,89.49,86.25,87.20,273500
AGP,26-Jun-2018,86.86,89.45,86.86,87.04,178000
AGP,27-Jun-2018,87.48,90.50,87.48,89.87,347500
AGP,28-Jun-2018,89.80,91.10,86.25,89.52,329500
AGP,29-Jun-2018,89.51,90.35,87.25,88.79,161500
AGP,02-Jul-2018,89.80,92.20,89.60,91.57,354000
AGP,03-Jul-2018,91.00,91.97,89.70,90.04,234500
AGP,04-Jul-2018,88.50,89.00,86.00,86.99,227500
AGP,05-Jul-2018,86.60,88.77,86.00,87.10,120000
AGP,06-Jul-2018,86.50,87.99,86.25,87.18,168500
AGP,09-Jul-2018,88.11,88.69,82.83,82.90,318500
AGP,10-Jul-2018,83.00,83.90,80.50,82.80,665000
AGP,11-Jul-2018,81.56,85.90,81.56,82.44,543000
AGP,12-Jul-2018,82.10,84.00,82.00,83.44,178500
AGP,13-Jul-2018,83.16,84.50,83.10,83.28,157000
AGP,16-Jul-2018,83.10,83.50,81.00,81.75,106000
AGP,17-Jul-2018,82.00,82.59,80.50,82.14,266500
AGP,18-Jul-2018,81.01,84.49,81.00,83.94,388000
AGP,19-Jul-2018,85.00,87.40,85.00,87.04,429000
AGP,20-Jul-2018,87.08,87.08,85.05,85.38,140500
AGP,23-Jul-2018,84.56,84.56,81.50,83.54,234000
AGP,24-Jul-2018,83.90,86.55,83.90,86.34,162500
AGP,26-Jul-2018,88.40,90.65,87.00,90.65,647000
AGP,27-Jul-2018,91.99,95.18,91.10,95.18,610000
AGP,30-Jul-2018,97.50,99.93,97.10,99.93,1018000
AGP,31-Jul-2018,100.50,102.34,96.62,97.66,2244000
AGP,01-Aug-2018,97.95,102.50,97.95,101.45,722500
AGP,02-Aug-2018,102.27,102.27,96.38,96.58,693000
AGP,03-Aug-2018,92.70,93.98,91.76,92.32,1499000
AGP,06-Aug-2018,92.50,95.50,92.05,94.62,416500
AGP,07-Aug-2018,94.94,95.30,93.80,94.06,201500
AGP,08-Aug-2018,94.20,94.20,92.52,92.72,70500
AGP,09-Aug-2018,93.00,93.50,92.90,93.35,157000
AGP,10-Aug-2018,94.00,98.01,93.81,98.01,650000
AGP,13-Aug-2018,99.69,101.00,98.50,99.21,1375500
AGP,15-Aug-2018,99.21,99.21,96.50,96.56,157500
AGP,16-Aug-2018,96.01,96.50,95.00,95.60,193000
AGP,17-Aug-2018,95.60,98.50,94.61,95.39,216500
AGP,20-Aug-2018,99.00,100.00,97.86,98.05,321500
AGP,24-Aug-2018,97.01,97.79,96.80,97.09,82000
AGP,27-Aug-2018,96.11,97.37,96.00,96.08,213500
AGP,28-Aug-2018,95.16,96.00,94.70,94.87,96000
AGP,29-Aug-2018,94.95,94.99,92.50,92.98,152000
AGP,30-Aug-2018,92.52,94.01,92.51,93.07,91000
AGP,31-Aug-2018,93.15,93.69,92.10,92.49,76000
AGP,03-Sep-2018,92.35,92.35,90.50,91.50,404000
AGP,04-Sep-2018,91.50,92.50,91.40,92.25,197500
AGP,05-Sep-2018,92.50,92.75,90.11,90.79,126000
AGP,06-Sep-2018,90.12,91.00,88.62,88.94,66000
AGP,07-Sep-2018,88.01,90.50,88.00,90.26,231500
AGP,10-Sep-2018,90.26,90.26,87.00,88.51,35000
AGP,11-Sep-2018,88.51,88.90,88.01,88.31,37000
AGP,12-Sep-2018,88.00,88.90,87.00,87.44,33000
AGP,13-Sep-2018,86.52,89.51,86.51,88.94,56000
AGP,14-Sep-2018,89.00,90.35,89.00,89.37,87500
AGP,17-Sep-2018,88.50,89.85,86.50,88.44,82000
AGP,18-Sep-2018,88.01,90.50,87.36,89.97,109500
AGP,19-Sep-2018,89.00,90.05,89.00,89.06,25000
AGP,24-Sep-2018,86.05,88.65,86.00,86.25,73500
AGP,25-Sep-2018,86.50,87.50,86.50,87.00,29000
AGP,26-Sep-2018,87.00,88.00,86.05,86.40,73500
AGP,27-Sep-2018,86.50,87.06,86.00,86.53,89500
AGP,28-Sep-2018,86.50,86.99,85.00,86.28,108500
AGP,01-Oct-2018,86.26,87.29,85.01,87.08,62000
AGP,02-Oct-2018,87.88,88.10,87.49,87.60,62000
AGP,03-Oct-2018,87.00,87.70,86.20,86.33,46500
AGP,04-Oct-2018,86.10,86.52,85.90,86.23,104000
AGP,05-Oct-2018,85.25,85.49,82.00,82.13,1351500
AGP,08-Oct-2018,82.50,82.50,78.03,78.03,194500
AGP,09-Oct-2018,79.80,80.89,76.75,78.01,3677500
AGP,10-Oct-2018,75.51,78.80,74.11,76.48,134500
AGP,11-Oct-2018,76.01,77.00,75.00,75.92,722000
AGP,12-Oct-2018,75.00,75.01,72.13,72.14,75000
AGP,15-Oct-2018,70.00,70.94,68.54,68.54,155500
AGP,16-Oct-2018,69.47,70.99,67.00,68.40,192500
AGP,17-Oct-2018,69.98,71.82,69.00,71.60,161500
AGP,18-Oct-2018,71.99,74.00,71.00,72.38,106000
AGP,19-Oct-2018,71.50,75.33,71.41,74.91,129000
AGP,22-Oct-2018,74.00,76.70,74.00,75.45,68000
AGP,23-Oct-2018,74.75,76.99,73.12,75.64,49000
AGP,24-Oct-2018,79.39,79.42,77.35,79.42,53500
AGP,25-Oct-2018,82.70,83.39,81.00,83.30,471000
AGP,26-Oct-2018,83.50,87.46,80.50,87.39,371000
AGP,29-Oct-2018,88.00,91.75,88.00,91.75,478500
AGP,30-Oct-2018,92.99,92.99,90.00,91.02,309500
AGP,31-Oct-2018,89.10,93.90,89.00,91.00,145000
AGP,01-Nov-2018,90.79,91.79,90.00,90.91,95500
